# SPDX-License-Identifier: MPL-2.0
# language	path	line	source_line_sha256	replacement_json
Greek	stemsrc/lsj.nom	891	c5713d7e7e33a3e7aa0e3535a1f6fe3b34239c1f85de2b0b97d206ea5db69706	"#noanalysis:a)glao/pais"
Greek	stemsrc/lsj.nom	892	908a1695064e39b04b8aad9397f19add7642622b07854899ee29820d1e053dd3	"#noanalysis-stem:a)glao pais_paidos masc"
Greek	stemsrc/lsj.nom	5530	d95e15c7ebffe39dd8b9b68e17a7c6e5d26d78560c6d1296499cd7cc67471ff0	":no:a)lalu c_ggos fem ant_acc"
Greek	stemsrc/lsj.nom	7141	a6236c8ba31e5c238638ffb50f704924ea1e48e0f48c6ee4458e8566fd25c370	":no:a)maru c_ggos fem ant_acc"
Greek	stemsrc/lsj.nom	10840	d0539b84e0d68c331392287ffe36181069fcc4ee59129763abfc019d274e93bb	":no:a)ndrosfi c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	21673	afac7bc73fa9775cdc0ff65a311d256b446b48ba198d1702e33e160622e03266	":no:a)stli c_ggos fem"
Greek	stemsrc/lsj.nom	22596	b9b28802f8f054ad46cb4dc5a9c662abeafc76b9eec2ff742a6c9c0feb584073	"#noanalysis:o/s"
Greek	stemsrc/lsj.nom	22597	c62c53856329444799c958db621e8c9d3ebf54068367c8bf1df11eb7c61685e8	"#noanalysis-stem: os_ou suff_acc masc"
Greek	stemsrc/lsj.nom	25342	88505ada36cbccd0695afebf5627a3c285171b3b73cca69c0fcf5576db37e594	":no:baqusmhri c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	25345	89a039ac0391d84cda68ba24015595cb154f0678ec59ce7d6c0ba5006fd85da1	":no:baqusphlu c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	26155	daa61f5f152f351255ad1c115ceb8eb61fda466bab1068eb5d0e88f6910f9bc0	":no:bdellolaru c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	53291	0836cd61fbcf92c3528a03b42afde9fd70f0f0d6764419017f57f959491e2c54	":no:e)risalpi c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	57173	392d074a55d76e0a6599528285273f9fe739d05c90d73a1dbc4ffa55f7d26fb9	":no:e)usmhri c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	59417	af0f606fff74fcee2d4f3cad4dbafd25a7cbf7281cfd040727fe637015abb1fd	":no:h(dufaru c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	64832	36a6fea824f3c03b1441f64307b1c88d0de6d712632d9e2aabcc5cffa913ca6d	":no:i)li c_ggos fem"
Greek	stemsrc/lsj.nom	80081	409295bc00d5dcec6e8050ba5f90bf93e9fb970eef002c551cd10c08a1a8f9a3	":no:kusti c_ggos fem"
Greek	stemsrc/lsj.nom	84607	3b6a42a8c9c7de6883280ab46cd571d4aff2e29cedd018b48997214b7bfede45	"#noanalysis:o/n"
Greek	stemsrc/lsj.nom	84608	c62c53856329444799c958db621e8c9d3ebf54068367c8bf1df11eb7c61685e8	"#noanalysis-stem: os_ou suff_acc masc"
Greek	stemsrc/lsj.nom	87449	8780cbaebad42374298b44b6d537fb1e8fa4df4dc3029d80b990871c2efc1741	":no:melirraqami c_ggos masc ant_acc"
Greek	stemsrc/lsj.nom	87637	2f40cafb8aa1650ebe05d3b912626d17cb2c14e4d18006fd7a0e0d4c092ae8a8	"#noanalysis:mello/pais"
Greek	stemsrc/lsj.nom	87638	3b4aa724646f4bc2b8454bae8ae78c35a38a13da928c99e3b3e5d17824848af4	"#noanalysis-stem:mello pais_paidos masc"
Greek	stemsrc/lsj.nom	89294	c3fca8a4a47ea4660ae75f325859b19f61b525f5fbdc90419929ba4019629b1d	":no:mhni c_ggos fem"
Greek	stemsrc/lsj.nom	89318	d9da77ab0cb82e0810528f66dbe5d341cf13c86c4f64b17753ed6bfb98e60b0a	":no:mhri c_ggos fem"
Greek	stemsrc/lsj.nom	93472	352cfc1c45ddc13ae69e717748f2db363e84e8094defd9a492135623a2cd8de1	"#noanalysis:ne"
Greek	stemsrc/lsj.nom	93473	bf8f271164633a93d369fa71d4a4888c16c5ae9674f7582b4d1c3421fe1bb2af	"#noanalysis-stem: is_ews fem"
Greek	stemsrc/lsj.nom	96112	cf1a3f02ea025766cac04069d50ee0b9cdaf4a9e28ea035e1c7184d179deefb1	"#noanalysis:o)brimo/pais"
Greek	stemsrc/lsj.nom	96113	0f952c79b643d7a95daec83a16d90d58be2c3957ae5b0d516a2702d76eea3314	"#noanalysis-stem:o)brimo pais_paidos masc"
Greek	stemsrc/lsj.nom	96871	b9b28802f8f054ad46cb4dc5a9c662abeafc76b9eec2ff742a6c9c0feb584073	"#noanalysis:o/s"
Greek	stemsrc/lsj.nom	96872	035b3f97bcce7e693ce824627d0a734326e285d095c8f0de91670f675e2dab67	"#noanalysis-stem: os_on suff_acc"
Greek	stemsrc/lsj.nom	96943	bca5f767264722381db838c7047ee8ba42b30326fdc9cc8832aa3598949371ca	"#noanalysis:eu/s"
Greek	stemsrc/lsj.nom	96944	3788ac049e807046bb48a75ed1f1c0a324c92f3a354e37b7fe060b7581240a2c	"#noanalysis-stem: eus_ews masc suff_acc"
Greek	stemsrc/lsj.nom	101435	76ee6d65bf3fd72bcf7de82e10e965431c854630d8738e62b54ccf65f7dc1d47	":no:o)stli c_ggos fem"
